,text,favorite counts,retweet counts
175,東海道新幹線沿線(?)だから、新幹線の知識は前の東京オリンピックで止まってるのよな,1,0
176,,0,0
177,あんまりシャレにならないと言われなくなるギャグってあるよね…（例：衰退の象徴としてのオリンピック）,1,0
178,何故この日本で、オリンピックなんかしようと思ったのか、いまだに理解できない。,4,1
179,テレビでオリンピックの未来の水泳選手に、YouTube的なキャラの意味で、ヤンキーキャラと真面目な学生キャラの2人が紹介された。オリンピックだと真面目に頑張っても人気は出ません。厳しいのか？それとも自由か？,0,0
180,当時僕は高校生でしたが、今も色褪せない名曲ですね。,1,0
181,,0,0
182,私の寿命の中では日本国内のオリンピックはもう無いかもしれないが海外でのオリンピックはまた3年後もある東京オリンピックは諦めて次の課題に早く取り組んだ方がいいのでは？選手ファーストともいうが相手が出場できなければ試合にもならない選手間の条件は皆同じ大きく言えば世界中同じ条件,0,0
183,,0,0
184,あんだけ甲子園無くなって悔しがってた高校球児の特集はしてたのにオリンピック自体は何度もあるけど〝今〟は〝今〟しか無いのは高校球児だけじゃないんだよね,0,0
185,だだその日はオリンピックだったりする😑午前だから行けなくないけどwww,0,0
186,ZAZYのオリンピックを見ているようにドキドキした,0,0
187,2021年に夏季オリンピックを本気で開催するつもりなら、もう、全住民対象のワクチン接種が始まっても良い頃じゃと思っていたけどなあ。,0,0
188,オリンピック後の再開に期待しましょう！,1,0
189,みんなからの匿名質問を募集中！こんな質問に答えてるよ●くがさーーん💕…●ＢＬをどう思いますか？…●オリンピックについてどう思いま…●日向坂の影山優佳さん、早稲田っ…,0,0
190,,1,0
191,,0,0
192,オリンピックできるの？ブラジルで変異株猛威1日2000人近い死者他国に波及懸念,1,0
193,オリンピック、外国人の観客は無しの方向みたいね💦これから、どうなるのかなぁ～😣,0,0
194,静岡と千葉はオリンピックと日程重なるのね…,0,0
195,オリンピックの参加選手の7割が開催期間中に行為を行ってるというデータもある。ってどうやって調べたんですかね。。。東京五輪は儲からなさそうだし夜のオリンピックの裏ビデオでまかないましょう😅,0,0
196,面倒臭い事は面倒臭い人に全投げしてコミケもオリンピックもやってほしいし今日の高知ファイナルは11-4-9が来て欲しい。,1,0
197,【オリンピックやるつもりですか⁉️】都の高齢者へのワクチン日程、5月以降に、ずれこみ⁉️⁉️,2,0
198,オリンピック賛成と言えない世の中なんだよねたぶん,0,0
199,「復興五輪」の顔でもあるＴＯＫＩＯが聖火ランナー辞退・・・いよいよオリンピック中止が秒読みか！？これほどのタレントや著名人がさっさっと逃げ出すってことは、沈みかけた船から逃げ出すネズミみたいなものです。,1,2
200,オリンピックやワールドカップなどの国際スポーツ大会の期間中は、寝不足の学生が増える。また、学生だけにとどまらず、教授も寝不足なので機嫌が悪かったりする。,0,0
201,『平成26年7月からは警察を管理する山口県公安委員会の委員を現在まで3期務めているほか、東京オリンピック・パラリンピック組織委員会の顧問も務めています。』…😅,0,0
202,オリンピックより、パラリンピックの方を見てみたいものだなぁ！😆,3,4
203,ちょっと前に某番組でヒャダインさんがまるで国民の総意のようにオリンピック反対意見を述べてた(すぐ訂正してたけど)のを見てちょっとモヤッとしたな……感染拡大防止のみの観点から見ればやらない方がいいことはわかってるのよみんな,0,0
204,空手をやられていたんですね！オリンピック競技にもなった空手ですが、奥が深いんですね！哲学重視の流派もあるんですね。かっこよすぎます！,0,0
205,みんなからの匿名質問を募集中！こんな質問に答えてるよ●トランプ前大統領は好きですか？…●小池知事は好き？嫌い？…●東京オリンピックは中止すべき…●親にしつけられた時締め出し…,0,0
206,【悲報】森喜朗会長｢ネット見たらワイの悪口ばっかりや！オリンピックは意地でも�,0,0
207,謎に横浜平日だしねオリンピックある前提？なのかな。,0,0
208,今年は戦力になってて、オリンピックも選ばれて欲しい。でもうちの横山くんも、ちゃんとシュートが打ててて，デビュー時の大然よりたのもしいと思っています。,0,0
209,「地獄に落ちろオリンピック！」←こんなことオリンピックに言う時点で日本人じゃないと即座にわかるレベル【動画】「廃止だ廃止」「地獄に落ちろオリンピック！」JOC前で東京五輪中止を求めるデモ警察官50人出動で騒然:はちま起稿,1,0
210,アメリカ行きたいわ～。。日本はオリンピックしか頭にないし。国民の為に働きますって言ってなんもしないし,2,0
211,,1,0
212,野球、サッカー、バスケ、ラグビーはそれぞれ国のリーグがあり、かつ、世界大会もある。ゴルフやテニスもメジャー大会があり、そちらの方が魅力的に見えます。確かに、4年に一度、国を背負って戦う姿は素晴らしいです。ですが、オリンピックでなくても世界大会はあるし、そっちの方が面白いかと。,0,0
213,2021.03.07女子プロレスバーちゃんすプロレス、ガンプラ、オリンピック問題、呪術廻戦…盛りだくさんの内容で、,14,2
214,コミケ開催できるならオリンピック開催できるしオリンピック開催できないならコミケ開催できないよ,0,0
215,オリンピックだけじゃなくて試合大会全部がオンリーワンなことそこに命を賭けてるひとが沢山いることでもそんな人達だってやりたいなんて言えずにいることをもっと考えて欲しい,0,0
216,東京オリンピックで国技館が使用するから7月場所は名古屋開催の可能性があるということか。そうなれば・・・そうなってほしい！！仮にオリンピックが中止になってしまったら国技館開催になってしまう可能性はあるけど。オリンピック中止はコロナが治まっていないことにもなるから。,0,0
217,オリンピックやるなら握手会もしてくれ…。,0,0
218,有名人の聖火ランナー辞退、流行ってるの？笑報道の仕方もマスゴミだし、それに乗っかる芸能人もどうなの？スケジュール組んでたなら予定通りきちんとスケジュールこなしなよ。,1,0
